Geneid,log2FoldChange,pvalue,-log10(pvalue),comparison,Regulation,JGI_annotation,KEGG_annotation
jgi|Sacce1|159|YBL076C,-2.0049989379967235,1.4669352093548986e-06,5.833589067370782,GNUR / EBY,Downregulated,Isoleucine--tRNA ligase,K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5] | (RefSeq) ILS1; isoleucine--tRNA ligase ILS1
jgi|Sacce1|218|YBL024W,-2.0075598284051583,1.1154670948130805e-05,4.952543236453098,GNUR / EBY,Downregulated,,"K15334 multisite-specific tRNA:(cytosine-C5)-methyltransferase [EC:2.1.1.202] | (RefSeq) NCL1, TRM4; tRNA (cytosine-C5-)-methyltransferase"
jgi|Sacce1|3580|YJR143C,-2.0139900415336114,4.205252830077945e-05,4.376207888235429,GNUR / EBY,Downregulated,Dolichyl-phosphate-mannose--protein mannosyltransferase,K00728 dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109] | (RefSeq) PMT4; dolichyl-phosphate-mannose-protein mannosyltransferase
jgi|Sacce1|4249|YLR212C,-2.0152044350976053,2.816451941561443e-06,5.550297654935552,GNUR / EBY,Downregulated,,K10389 tubulin gamma | (RefSeq) TUB4; gamma-tubulin
jgi|Sacce1|6435|YPR074C,-2.0219777596626662,1.179061407190797e-05,4.928463575643142,GNUR / EBY,Downregulated,Transketolase,K00615 transketolase [EC:2.2.1.1] | (RefSeq) TKL1; transketolase TKL1
jgi|Sacce1|2677|YGR103W,-2.0259853127916587,9.920680230847176e-05,4.00345854857414,GNUR / EBY,Downregulated,,"K14843 pescadillo | (RefSeq) NOP7, YPH1; mRNA-binding ribosome synthesis protein NOP7"
jgi|Sacce1|4102|YLR083C,-2.0276816111034885,1.1340997352205697e-05,4.945348750953426,GNUR / EBY,Downregulated,,"K17086 transmembrane 9 superfamily member 2/4 | (RefSeq) EMP70, TMN1; Emp70p"
jgi|Sacce1|6267|YPL090C,-2.033537258627072,1.3588142966584574e-06,5.866839892382512,GNUR / EBY,Downregulated,,K02991 small subunit ribosomal protein S6e | (RefSeq) RPS6A; ribosomal 40S subunit protein S6A
jgi|Sacce1|4079|YLR060W,-2.0354557401646747,4.5988191183326947e-07,6.337353671846892,GNUR / EBY,Downregulated,Phenylalanine--tRNA ligase,K01890 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] | (RefSeq) FRS1; phenylalanine--tRNA ligase subunit beta
jgi|Sacce1|4123|YLR103C,-2.035841409265895,3.076144601052903e-05,4.51199325340789,GNUR / EBY,Downregulated,,"K06628 cell division control protein 45 | (RefSeq) CDC45, SLD4; DNA replication initiation factor CDC45"
