Geneid,log2FoldChange,pvalue,-log10(pvalue),comparison,Regulation,JGI_annotation,KEGG_annotation
jgi|Sacce1|5388|YNR003C,-2.002242255136968,1.9046437570591377e-05,4.720186242461512,GNHR / EBY,Downregulated,DNA-directed RNA polymerase,K03025 DNA-directed RNA polymerase III subunit RPC6 | (RefSeq) RPC34; DNA-directed RNA polymerase III subunit C34
jgi|Sacce1|2409|YGL157W,-2.0041176316417513,2.36913625842594e-06,5.625409960560167,GNHR / EBY,Downregulated,Cinnamyl-alcohol dehydrogenase,no KO assigned | (RefSeq) ARI1; carbonyl reductase (NADPH-dependent) ARI1
jgi|Sacce1|5768|YOR115C,-2.004339797150441,1.1487729106419249e-05,4.939765814133671,GNHR / EBY,Downregulated,,K20304 trafficking protein particle complex subunit 6 | (RefSeq) TRS33; Trs33p
jgi|Sacce1|6208|YPL146C,-2.0084522526981057,5.814752972787938e-06,5.235468730606019,GNHR / EBY,Downregulated,,K14840 nucleolar protein 53 | (RefSeq) NOP53; Nop53p
jgi|Sacce1|4314|YLR274W,-2.0118740941382525,8.412961271238133e-05,4.075051110338673,GNHR / EBY,Downregulated,Adenosinetriphosphatase,"K02209 DNA replication licensing factor MCM5 [EC:5.6.2.3] | (RefSeq) MCM5, BOB1, CDC46; MCM DNA helicase complex subunit MCM5"
jgi|Sacce1|3244|YJL187C,-2.0132812671036167,2.4193704881963962e-05,4.616297621237558,GNHR / EBY,Downregulated,,"K03114 mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1] | (RefSeq) SWE1, WEE1; tyrosine protein kinase SWE1"
jgi|Sacce1|3791|YKL045W,-2.0186933115060346,2.7789750182176915e-05,4.556115357324453,GNHR / EBY,Downregulated,Nucleotidyltransferases,K02685 DNA primase large subunit | (RefSeq) PRI2; DNA primase subunit PRI2
jgi|Sacce1|1170|YDR146C,-2.0195059121185457,3.95916675350055e-05,4.402396206103315,GNHR / EBY,Downregulated,,K09202 regulatory protein SWI5 | (RefSeq) SWI5; DNA-binding transcription factor SWI5
jgi|Sacce1|3923|YKR082W,-2.020947401100048,7.168577959735548e-05,4.144566987357492,GNHR / EBY,Downregulated,,"K14300 nuclear pore complex protein Nup133 | (RefSeq) NUP133, RAT3; Nup133p"
jgi|Sacce1|3362|YJL074C,-2.022890086397869,7.718279631412488e-05,4.112479491095088,GNHR / EBY,Downregulated,,K06669 structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6) | (RefSeq) SMC3; cohesin subunit SMC3
