Geneid,EBY_1,EBY_2,EBY_3,EBY-U_1,EBY-GNSR_1,EBY-GNSR_2,EBY-GNHR_1,EBY-GNHR_2,EBY-GNHR_3,EBY-GNUR_1,EBY-GNUR_2,EBY-GNUR_3,JGI_annotation,KEGG_annotation,Metabolic_Summary
jgi|Sacce1|1000|YDL018C,47.55,49.28,46.03,27.44,66.92,56.75,26.36,30.2,32.08,45.72,44.23,46.24,,no KO assigned | (RefSeq) ERP3; Erp3p,"The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems, linking them with genomic data to study processes like nutrient cycling, plant-microbe interactions, and environmental responses, and identifying enzymatic transformations and metabolic pathways."
jgi|Sacce1|1001|YDL017W,20.11,20.75,19.72,26.48,25.7,28.76,22.21,20.59,22.8,33.2,36.83,33.11,Protein kinase,"K02214 cell division control protein 7 [EC:2.7.11.1] | (RefSeq) CDC7, LSD6, SAS1; serine/threonine protein kinase CDC7",This gene encodes a cell division cycle protein with kinase activity that is critical for the G1/S transition and essential for initiation of DNA replication.
jgi|Sacce1|1002|YDL016C,5.68,6.5,3.91,4.32,7.41,7.81,2.39,2.12,2.39,5.77,2.15,3.29,,,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and biosystems for bioenergy and bioproduct applications."
jgi|Sacce1|1003|YDL015C,258.04,263.32,271.2,176.4,287.94,309.8,97.96,133.22,114.73,172.79,189.77,190.81,3-oxo-5-alpha-steroid 4-dehydrogenase,K10258 very-long-chain enoyl-CoA reductase [EC:1.3.1.93] | (RefSeq) TSC13; trans-2-enoyl-CoA reductase (NADPH) TSC13,"Very-long-chain enoyl-CoA reductase catalyzes a chemical reaction involving a very-long-chain acyl-CoA and NADP+ to produce a very-long-chain trans-2,3-dehydroacyl-CoA, NADPH, and H+, and is a component of the elongase complex responsible for extending palmitoyl-CoA and stearoyl-CoA in fatty acid elongation."
jgi|Sacce1|1004|YDL014W,338.89,352.15,227.14,32.43,264.66,275.53,33.94,28.27,20.38,70.73,106.82,72.1,,"K14563 rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-] | (RefSeq) NOP1, LOT3; rRNA methyltransferase NOP1",No specific metabolic synthesis information found.
jgi|Sacce1|1005|YDL013W,25.82,27.07,25.35,55.41,29.88,29.73,54.39,47.92,60.75,48.28,52.28,55.85,,"K22645 E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 [EC:2.3.2.27] | (RefSeq) SLX5, HEX3, ULS2; SUMO-targeted ubiquitin ligase complex subunit SLX5",No specific metabolic synthesis information found.
jgi|Sacce1|1006|YDL012C,187.63,191.76,172.22,164.4,176.78,137.25,165.76,140.78,149.01,300.25,310.78,324.98,,no KO assigned | (RefSeq) uncharacterized protein,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and biosystems for bioenergy and bioproduct applications."
jgi|Sacce1|1007|YDL011C,0.3,0.32,0.35,0.4,0.42,0.16,0.84,0.36,0.15,1.49,1.0,3.89,,,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions."
jgi|Sacce1|1008|YDL010W,64.59,67.37,66.27,176.22,78.55,83.9,194.57,198.62,197.75,187.52,179.16,193.53,,no KO assigned | (RefSeq) GRX6; glutathione-disulfide reductase GRX6,"The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems, integrating this data with genomics to study processes like nutrient cycling, plant-microbe interactions, and environmental responses, and identifying enzymatic transformations and metabolic pathways."
jgi|Sacce1|1009|YDL009C,0.68,1.17,0.83,0.4,1.53,0.81,1.26,0.72,1.04,0.74,3.21,0.81,,no KO assigned | (RefSeq) uncharacterized protein,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C1009%7CYDL009C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
