Geneid,log2FoldChange,pvalue,-log10(pvalue),comparison,Regulation,JGI_annotation,KEGG_annotation
jgi|Sacce1|807|YDL200C,-2.0119843536605364,5.578479325721389e-06,5.253484172111519,EBY / GNHR,Downregulated,Methylated-DNA--[protein]-cysteine S-methyltransferase,K00567 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63] | (RefSeq) MGT1; methylated-DNA--protein-cysteine methyltransferase
jgi|Sacce1|6542|YPR172W,-2.0150194496805724,1.312294765037696e-05,4.881968603640972,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) pyridoxal 5'-phosphate synthase
jgi|Sacce1|340|YBR090C,-2.048337947240526,3.5077947344680444e-06,5.454965828161205,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|3076|YHR113W,-2.0876108468731163,6.253385517630435e-08,7.203884796488284,EBY / GNHR,Downregulated,Aspartyl aminopeptidase,K01267 aspartyl aminopeptidase [EC:3.4.11.21] | (RefSeq) APE4; aspartyl aminopeptidase
jgi|Sacce1|1616|YIL152W,-2.1064375466791523,2.4495427027233468e-06,5.610914985113363,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) VPR1; Vpr1p
jgi|Sacce1|2118|YER158C,-2.119871289920995,3.2690932532275445e-06,5.4855726906816376,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) uncharacterized protein
jgi|Sacce1|4230|YLR193C,-2.1582950008863935,4.634671711199499e-05,4.3339810229140685,EBY / GNHR,Downregulated,,"K27964 PRELI domain-containing protein 1, mitochondrial | (RefSeq) UPS1; Ups1p"
jgi|Sacce1|2004|YER066W,-2.170243253120946,1.1423068832259715e-05,4.942217206258863,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) RRT13; Rrt13p
jgi|Sacce1|3169|YHR195W,-2.173946344516378,6.896092942459357e-07,6.161396893916924,EBY / GNHR,Downregulated,,"K22264 nucleus-vacuole junction protein 1 | (RefSeq) NVJ1, VAB36; Nvj1p"
jgi|Sacce1|6077|YPL271W,-2.175839938319605,4.033498984250701e-06,5.394318048088656,EBY / GNHR,Downregulated,H(+)-transporting two-sector ATPase,K02135 F-type H+-transporting ATPase subunit epsilon | (RefSeq) ATP15; F1F0 ATP synthase subunit epsilon
jgi|Sacce1|570|YBR299W,-2.2477851529930217,3.801559248848637e-05,4.420038236468165,EBY / GNHR,Downregulated,Alpha-glucosidase,"K01182 oligo-1,6-glucosidase [EC:3.2.1.10] | (RefSeq) MAL32; alpha-glucosidase MAL32"
jgi|Sacce1|707|YCR060W,-2.347492821390427,8.999093983864243e-06,5.045801212517898,EBY / GNHR,Downregulated,,no KO assigned | (RefSeq) TAH1; Tah1p
